"id","internal_id","status","strength"
"a1ev",1,38.5,-12.8830423220975
"ae4t",2,66.5,37.4502910112359
"al0e",3,59.5,30.1495576779027
"b0jr",4,41.9815,0.161757677902803
"b9r3",5,45,-7.61637565543059
"c0fe",6,60,-2.4497089887644
"c4uq",7,53.5,-0.649708988763962
"cpa0",8,37.5,-2.2497089887645
"cr6n",9,26,-17.0366089887643
"dagl",10,29,-7.88304232209729
"dmye",11,49.531,14.2836243445694
"dy12",12,34.5,-7.68304232209727
"ef3c",13,39.5,19.7836243445691
"efvt",14,32,15.0169576779025
"ev8t",15,56.5,8.55029101123586
"fr6s",16,52.5,-7.84970898876414
"g0ra",17,49,5.04729101123623
"g5il",18,44,-7.38304232209729
"g9dc",19,25,-19.4061756554305
"gcty",20,39,-14.3163756554307
"gm9l",21,40.5,1.25029101123601
"gnpm",22,44.5350000000001,-1.24970898876403
"gtff",23,26,-19.4497089887639
"h2ea",24,53.5,-15.2163756554307
"hfy2",25,38,15.8836243445693
"i8ke",26,41,-8.61637565543085
"iki9",27,34.5,7.98362434456933
"inab",28,41,11.9169576779027
"j8ft",29,54.8330000000001,6.05029101123605
"jnza",30,43.5,9.0169576779025
"jwfd",31,40.5,0.616957677902891
"jwqa",32,38.5,3.21695767790242
"klxi",33,43.7205,12.7169576779028
"kpft",34,67,7.11695767790248
"l463",35,36.3175,-9.9163756554306
"l5y4",36,44.1635,0.192524344569714
"la9y",37,46.933,-2.53110898876401
"lc05",38,35.9585000000001,-19.3830423220975
"lu1v",39,35.5,-14.1497089887642
"lxuj",40,39.768,-2.41637565543098
"m632",41,60.5,-17.2830423220978
"m9qx",42,57,-9.01637565543073
"mals",43,40.5265,-0.283042322097098
"mp4u",44,36.5,-13.5163756554306
"mx22",45,51.5,-14.4163756554312
"mz10",46,45,3.88362434456939
"oas7",47,35.5,10.6502910112359
"owcs",48,58.5,-20.8163756554307
"oz3z",49,46.5,2.48362434456917
"pi3m",50,39,9.11695767790269
"pmhp",51,25.5,-3.01637565543064
"pn3c",52,39.8105,-16.7830423220973
"q7py",53,51.5,-11.1830423220973
"rhsr",54,41,-1.41637565543059
"rrd3",55,51.5,21.3502910112358
"rtnc",56,44.5,-16.0497089887642
"rvbr",57,56.5,3.55029101123607
"s21m",58,51.5,23.0836243445694
"s2w6",59,56.5,7.21695767790282
"s94u",60,49.5,-14.6497089887639
"sn7t",61,38.5,13.6169576779026
"tatj",62,47.5,0.482691011236289
"u16n",63,40.034,3.75012434456932
"ucg2",64,39.5,16.6836243445692
"ufw2",65,59.5,-19.3497089887643
"uo7l",66,53.5,-14.2163756554305
"uykn",67,21,-6.91637565543065
"v37v",68,41,10.5169576779027
"vfmv",69,43,5.35029101123601
"vhb8",70,38,-8.94970898876372
"vqcz",71,41,-3.71637565543085
"w1q7",72,61.5,-8.3163756554308
"w2hk",73,37.5389999999999,-0.983042322097605
"w79j",74,70,17.4836243445694
"w7no",75,77,6.31695767790201
"wpry",76,41.5,0.583624344569263
"xabx",77,27,-20.3830423220973
"xcku",78,57,11.0836243445691
"xlbx",79,36,-6.18304232209736
"xuvw",80,41.5,-1.81637565543058
"xv23",81,26,10.2836243445693
"y3wm",82,31,9.81695767790262
"y749",83,46,10.0502910112358
"y784",84,64,18.4169576779026
"yjaf",85,59,-4.01637565543082
"ysfd",86,47.709,10.2836243445695
"z99f",87,38,0.61695767790251
"zvij",88,43.002,-9.58304232209703
"zx2j",89,42,10.1169576779025
